,Код инструмента,Календарная дата,Цена
0,A592UFM060F,27/02/2015,32100
1,A592UFM060F,04/03/2015,33300
2,A592UFM060F,17/03/2015,32650
3,A592UFM060F,18/03/2015,32000
4,A592UFM060F,19/03/2015,31800
5,A592UFM060F,20/03/2015,32000
6,A592UFM060F,23/03/2015,32500
7,A592UFM060F,24/03/2015,32700
8,A592UFM060F,25/03/2015,32700
9,A592UFM060F,26/03/2015,32700
10,A592UFM060F,27/03/2015,32500
11,A592UFM060F,30/03/2015,32200
12,A592UFM060F,03/04/2015,32200
13,A592UFM060F,06/04/2015,32200
14,A592UFM060F,08/04/2015,32300
15,A592UFM060F,09/04/2015,32310
16,A592UFM060F,10/04/2015,32100
17,A592UFM060F,13/04/2015,31600
18,A592UFM060F,14/04/2015,31600
19,A592UFM060F,20/04/2015,31600
20,A592UFM060F,21/04/2015,31000
21,A592UFM060F,22/04/2015,31100
22,A592UFM060F,23/04/2015,31200
23,A592UFM060F,24/04/2015,31800
24,A592UFM060F,29/04/2015,31300
25,A592UFM060F,07/05/2015,31700
26,A592UFM060F,08/05/2015,31800
27,A592UFM060F,12/05/2015,32000
28,A592UFM060F,13/05/2015,32000
29,A592UFM060F,14/05/2015,32160
30,A592UFM060F,15/05/2015,32810
31,A592UFM060F,18/05/2015,33100
32,A592UFM060F,19/05/2015,33150
33,A592UFM060F,20/05/2015,33750
34,A592UFM060F,21/05/2015,34000
35,A592UFM060F,22/05/2015,34000
36,A592UFM060F,25/05/2015,33900
37,A592UFM060F,26/05/2015,33800
38,A592UFM060F,27/05/2015,33900
39,A592UFM060F,28/05/2015,34400
40,A592UFM060F,29/05/2015,34830
41,A592UFM060F,01/06/2015,35000
42,A592UFM060F,02/06/2015,35100
43,A592UFM060F,03/06/2015,35610
44,A592UFM060F,04/06/2015,36300
45,A592UFM060F,05/06/2015,36300
46,A592UFM060F,08/06/2015,35000
47,A592UFM060F,09/06/2015,35000
48,A592UFM060F,10/06/2015,36300
49,A592UFM060F,11/06/2015,36500
50,A592UFM060F,15/06/2015,36500
51,A592UFM060F,16/06/2015,36600
52,A592UFM060F,17/06/2015,36850
53,A592UFM060F,18/06/2015,37500
54,A592UFM060F,19/06/2015,38000
